Name,w,w1,v,mvc,v/mvc,l1,l1w,l2,l2w,linf,linfw,R,R^2,BLACK%,HISP%,TotPop
El PasoTX,0.48618441477801927,1.30727169721124,0.717711580526497,0.2960638086184836,2.4241787061901947,121.3534997416064,0.772952227653544,9.950129646721274,0.06337662195363869,0.9664179104477612,0.0061555280920239566,-0.7275180257280197,0.5292824777591956,3.7852703580499885,80.62274633820216,737411.0
MemphisTN,0.39114565230952947,2.051424248402466,0.8315344622974707,0.4341733597447318,1.915212998757832,116.31844079915632,0.5512722312756224,9.276315179726863,0.04396357905083821,0.9595934556271691,0.004547836282593218,-0.2970614403274327,0.08824549932940887,58.571232717800534,9.259620556194172,758584.0
BaltimoreMD,0.34114138885728373,1.6099001447896615,0.9211560805374381,0.4555671336874079,2.0219985429622738,119.94784907241707,0.5403056264523292,9.507071689510552,0.04282464725004753,0.9631610219845513,0.004338563162092574,-0.42550162920378487,0.18105163645507524,54.82356448187205,7.671796400491858,670925.0
BostonMA,0.2727272727272727,2.0887852547702934,0.6258013710389149,0.3615684566261452,1.7307963666918584,29.37557032661186,0.11941288750655228,3.0013506632804337,0.012200612452359486,0.6602323503127793,0.002683871342734875,0.38546190384967033,0.1485808793194125,17.769172441091328,17.019133097110483,838756.0
SeattleWA,0.14643535476868808,0.8045933146339573,0.14476703778830294,0.07621039139691058,1.8995708476858908,10.272602840019676,0.05493370502684319,0.9902159010123093,0.005295272197926788,0.2978395061728395,0.0015927246319403182,0.3723415894668497,0.13863825924670004,7.32091146207718,8.516204226653796,779056.0
WashingtonDC,0.4768465365480291,2.4082087580372686,1.0767026274585343,0.6222199507638139,1.7304212539903527,70.20772949593173,0.3408142208540375,6.863537557142018,0.033318143481271933,0.944890129054761,0.004586845286673597,-0.31796245693128594,0.10110012401777986,41.4490714891704,11.261338998905075,689545.0
NashvilleTN,0.3371988345436917,1.525726493163545,0.6978074574580605,0.4129243733054969,1.689915884286628,32.96251091138141,0.16318074708604657,3.6883999012363438,0.01825940545166507,0.8863965267727931,0.004388101617687094,0.028522110836277315,0.0008135108065568878,21.41544661064205,12.571571660926251,862597.0
DenverCO,0.4326720377994707,1.7491713737950882,0.6511732127485633,0.40633483857963937,1.6025532416190718,47.935921084268095,0.2031183096791021,4.364379441047372,0.018493133224777,0.7931793179317932,0.00336092931327031,0.10705873073808628,0.01146157182725006,8.462228428713377,29.052286704084647,930925.0
LouisvilleKY,0.18874160170261567,1.1096822931183028,0.6940864922557409,0.24078506011171583,2.882597831998834,40.053206407946966,0.18123622809025777,4.558350296819744,0.020626019442623274,0.9351817159985014,0.004231591475106341,-0.08979593097297209,0.008063309219302768,21.017721140922895,7.377047140225994,803560.0
MilwaukeeWI,0.13851219663335745,0.5643637070545683,0.6384803234677984,0.13817107064582862,4.620940696800441,102.11484451858543,0.38975131495643295,8.07436431206002,0.03081818439717565,0.9205334815226451,0.003513486570697119,-0.41561777707170144,0.1727381366180225,30.47602057121442,17.479114980870104,779147.0
PortlandOR,0.12456157062569395,0.737288510966476,0.09418873170942503,0.05997091135300129,1.5705736261870444,11.96074424566578,0.06362098003013712,1.0544710683605816,0.005608888661492455,0.2446562680531485,0.0013013631279422792,0.47779090152821746,0.2282841455831468,5.406622730975707,11.133754934932009,765968.0
Las VegasNV,0.28581136203681057,1.5459819302548814,0.593115849010944,0.2989463121860818,1.9840212935684378,45.38148837952483,0.23272558143346067,4.387460027169282,0.02249979501112452,0.8442871587462083,0.004329677737160043,0.14742200280122306,0.021733246909923818,12.792868374508462,35.947592168753026,815298.0
Oklahoma CityOK,0.16718761013336314,1.2572338972412989,0.7181593177155441,0.14072549093739556,5.103263900035219,52.20736381433998,0.19053782413992693,4.755439089996809,0.017355617116776675,1.0,0.0036496350364963502,-0.19241453093614405,0.03702335171537634,12.458885273203387,18.358697914954693,912690.0
AlbuquerqueNM,0.45889487870619944,1.1489943320940847,0.5948714778472554,0.26040996889368834,2.2843652275466844,74.90652032920565,0.43804982648658275,6.2879912736294905,0.03677187879315492,0.9079065588499551,0.005309395080993889,-0.027287813191676433,0.0007446247487838303,3.2208299790814388,48.69296400152026,668306.0
TucsonAZ,0.44957350727546413,1.2090906213811459,0.5087317937346907,0.2505112625620458,2.0307741397802013,60.029262819638916,0.3510483205826837,5.5479113586210484,0.0324439260738073,1.0,0.005847953216374269,-0.13990637240880383,0.019573793040590905,4.907683000970011,41.076123998497465,662879.0
FresnoCA,0.5728446741701005,1.1950139262434116,0.45092067743846376,0.23331310188030036,1.9326847648264753,62.834851105218114,0.43635313267512577,5.578111671656495,0.03873688660872566,0.8336684335587644,0.005789364121935864,0.32474965387223004,0.10546233769013322,6.666757572865106,49.963410255128245,660021.0
SacramentoCA,0.1779708202522048,1.2844507624523993,0.34169413781650015,0.14126983198566334,2.418733943501658,28.047182982957295,0.17206860725740672,2.634321167660089,0.016161479556196862,0.5127976852882261,0.0031459980692529208,0.18600109375842272,0.03459640687932956,12.427609187619167,29.26073759926822,673428.0
Long BeachCA,0.3193758670940491,1.4621502764207586,0.6847302608352956,0.3625169656253278,1.8888226642142452,44.341084600340366,0.31447577730737847,4.232644938500562,0.030018758429082002,0.8737225012991512,0.006196613484391143,0.2143800924557543,0.045958824041337755,11.984971314858042,44.093763872080636,592467.0
Kansas CityMO,0.2410809736695303,1.0954384674493882,0.566838218775183,0.226692912996599,2.5004673118461676,43.72586478397051,0.20432647095313322,4.514650335077311,0.021096496892884634,0.8107692307692308,0.0037886412652767794,-0.00783753208847672,6.142690923790226e-05,22.643101217623695,11.055151190870511,706458.0
MesaAZ,0.38933400100150223,1.5683695750481437,0.41677076289914566,0.21156275999116705,1.9699627803898296,31.465861968886422,0.21118028167037867,3.1998940395238793,0.021475798922979055,0.7546319479218828,0.005064643945784449,0.2607652073267984,0.06799849335218816,4.009951421435595,25.931815650079347,619409.0
Virginia BeachVA,0.30773930753564155,1.3373376450578092,0.33375586369091625,0.21246825996028146,1.5708504590441328,13.714763205114519,0.10971810564091615,1.7509447277090227,0.014007557821672182,0.5364507696776067,0.004291606157420854,0.4498936053402079,0.20240425612601073,19.614870077240816,8.650189928422861,512035.0
AtlantaGA,0.5727527572620673,1.790041978322885,0.7929856006829817,0.37983570077753154,2.0877068665734257,86.88421417710768,0.4177125681591715,7.909502499537374,0.038026454324698915,0.9681712962962964,0.004654669693732194,-0.2996093949485312,0.08976578954142497,46.12062930028568,6.427714963988251,621325.0
Colorado SpringsCO,0.2725258493353028,0.7728361162414219,0.15159479673025034,0.0979507990697948,1.5476626854491664,16.293757608114575,0.1206945008008487,1.5954875837628888,0.011818426546391769,0.4694731659281143,0.0034775790068749205,0.7724604630923109,0.5966951670407874,5.901876223801426,18.155249668361613,582713.0
OmahaNE,0.10198729986260546,0.5438068059986292,0.3543570844577765,0.10087936331173623,3.5126816112304993,23.91383903983491,0.1476162903693513,2.954897226922242,0.018240106339026188,0.7286863270777479,0.004498063747393506,-0.02441073963246938,0.0005958842094042113,11.321586599519053,14.154047212946585,569293.0
RaleighNC,0.23249338646353213,0.762721724583273,0.2338217162414672,0.15530790447233983,1.5055364827429667,14.745302889641653,0.1161047471625327,1.8840948300172193,0.01483539236234031,0.5183859420761472,0.0040817790714657255,0.602512691895508,0.3630215438951714,24.30510416736469,13.196654850533736,596924.0
MiamiFL,0.2610555215177973,0.9515034889019851,0.8222768522019855,0.2957486140474263,2.7803236030385086,95.47257185895921,0.6281090253878896,8.389790704627812,0.05519599147781455,0.954140127388535,0.0062772376801877305,-0.6187536492462447,0.38285607845554476,14.348119697801037,67.96387885950203,521246.0
ClevelandOH,0.44779126013738013,1.3660487988220962,0.5890326648202794,0.35316494014820804,1.6678684599130589,89.56181653795753,0.4455811768057588,8.296177125278115,0.04127451306108515,0.9626988480526604,0.004789546507724679,-0.548558104265895,0.30091599375579253,43.83298151675849,11.314421047212068,485575.0
TulsaOK,0.13911887979227305,0.7855358703950783,0.4000556974182364,0.12123392207255107,3.2998659993762107,21.92852549957141,0.1379152547142856,2.7653951985321967,0.017392422632277967,0.7298682284040996,0.004590366216377985,0.004868079344606969,2.3698196505389013e-05,12.923836973256314,17.218785298811348,497538.0
OaklandCA,0.23540372670807452,0.8940286228173204,0.26079289223137964,0.18147355270697185,1.4370848442719693,19.29047322243473,0.1348984141429002,2.338334323282066,0.016351988274699764,0.6624651912648396,0.004632623715138739,0.26436180673925547,0.06988716486244345,18.88259522453839,26.367269823194047,540932.0
